DT_GERACAO,HH_GERACAO,ANO_ELEICAO,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,CD_MUN_SIT_BIOMETRIA,DS_MUN_SIT_BIOMETRIA,NR_ZONA,NR_SECAO,CD_GENERO,DS_GENERO,CD_ESTADO_CIVIL,DS_ESTADO_CIVIL,CD_FAIXA_ETARIA,DS_FAIXA_ETARIA,CD_GRAU_ESCOLARIDADE,DS_GRAU_ESCOLARIDADE,QT_ELEITORES_PERFIL,QT_ELEITORES_BIOMETRIA,QT_ELEITORES_DEFICIENCIA,QT_ELEITORES_INC_NM_SOCIAL
17/09/2018,23:56:00,2018,RN,18392,SÃO JOÃO DO SABUGI,1,Biométrico,26,22,2,MASCULINO,1,SOLTEIRO,2124,21 a 24 anos,6,ENSINO MÉDIO COMPLETO,3,3,0,0
17/09/2018,23:56:00,2018,RN,18392,SÃO JOÃO DO SABUGI,1,Biométrico,26,22,2,MASCULINO,1,SOLTEIRO,2529,25 a 29 anos,4,ENSINO FUNDAMENTAL COMPLETO,1,1,0,0
17/09/2018,23:56:00,2018,RN,18392,SÃO JOÃO DO SABUGI,1,Biométrico,26,22,2,MASCULINO,1,SOLTEIRO,2529,25 a 29 anos,7,SUPERIOR INCOMPLETO,3,3,0,0
17/09/2018,23:56:00,2018,RN,18392,SÃO JOÃO DO SABUGI,1,Biométrico,26,22,2,MASCULINO,1,SOLTEIRO,4549,45 a 49 anos,3,ENSINO FUNDAMENTAL INCOMPLETO,4,4,0,0
17/09/2018,23:56:00,2018,RN,18392,SÃO JOÃO DO SABUGI,1,Biométrico,26,22,2,MASCULINO,1,SOLTEIRO,4549,45 a 49 anos,4,ENSINO FUNDAMENTAL COMPLETO,1,1,0,0
17/09/2018,23:56:00,2018,RN,18392,SÃO JOÃO DO SABUGI,1,Biométrico,26,22,2,MASCULINO,1,SOLTEIRO,5054,50 a 54 anos,3,ENSINO FUNDAMENTAL INCOMPLETO,3,3,0,0
17/09/2018,23:56:00,2018,RN,18392,SÃO JOÃO DO SABUGI,1,Biométrico,26,22,2,MASCULINO,1,SOLTEIRO,5559,55 a 59 anos,6,ENSINO MÉDIO COMPLETO,1,1,0,0
17/09/2018,23:56:00,2018,RN,18392,SÃO JOÃO DO SABUGI,1,Biométrico,26,22,2,MASCULINO,3,CASADO,2124,21 a 24 anos,3,ENSINO FUNDAMENTAL INCOMPLETO,1,1,0,0
17/09/2018,23:56:00,2018,RN,18392,SÃO JOÃO DO SABUGI,1,Biométrico,26,22,2,MASCULINO,3,CASADO,3539,35 a 39 anos,7,SUPERIOR INCOMPLETO,1,1,0,0
17/09/2018,23:56:00,2018,RN,18392,SÃO JOÃO DO SABUGI,1,Biométrico,26,22,2,MASCULINO,3,CASADO,4549,45 a 49 anos,8,SUPERIOR COMPLETO,1,1,0,0
